Date,AAPL,GOOG,HGLG11.SA,IBM,KNRI11.SA,MSFT,PETR3.SA,PETR4.SA
2004-11-16 00:00:00+00:00,0.9810709953308105,4.297391891479492,,90.7170181274414,,27.1200008392334,12.456250190734863,11.412500381469727
2004-11-17 00:00:00+00:00,0.9803569912910461,4.296395778656006,,91.26194763183594,,27.170000076293945,12.493749618530273,11.505000114440918
2004-11-18 00:00:00+00:00,0.9891070127487183,4.172859191894531,,90.91778564453125,,27.06999969482422,12.40625,11.362500190734863
2004-11-19 00:00:00+00:00,0.9851790070533752,4.219184875488281,,90.2963638305664,,26.860000610351562,12.425000190734863,11.3125
2004-11-20 00:00:00+00:00,0.9851790070533752,4.219184875488281,,90.2963638305664,,26.860000610351562,12.425000190734863,11.3125
2004-11-21 00:00:00+00:00,0.9851790070533752,4.219184875488281,,90.2963638305664,,26.860000610351562,12.425000190734863,11.3125
2004-11-22 00:00:00+00:00,1.0955359935760498,4.112086772918701,,90.9273452758789,,26.649999618530273,12.487500190734863,11.461250305175781
2004-11-23 00:00:00+00:00,1.0941070318222046,4.172360897064209,,91.0898666381836,,26.530000686645508,12.313750267028809,11.262499809265137
2004-11-24 00:00:00+00:00,1.1437499523162842,4.35268497467041,,91.26194763183594,,26.639999389648438,12.3125,11.199999809265137
2004-11-25 00:00:00+00:00,1.1437499523162842,4.35268497467041,,91.26194763183594,,26.639999389648438,12.868749618530273,11.800000190734863
2004-11-26 00:00:00+00:00,1.1526789665222168,4.468002796173096,,90.55449676513672,,26.600000381469727,12.712499618530273,11.727499961853027
2004-11-27 00:00:00+00:00,1.1526789665222168,4.468002796173096,,90.55449676513672,,26.600000381469727,12.712499618530273,11.727499961853027
2004-11-28 00:00:00+00:00,1.1526789665222168,4.468002796173096,,90.55449676513672,,26.600000381469727,12.712499618530273,11.727499961853027
2004-11-29 00:00:00+00:00,1.2221430540084839,4.509347915649414,,91.3001937866211,,26.770000457763672,12.59375,11.53125
2004-11-30 00:00:00+00:00,1.1973210573196411,4.532511234283447,,90.0956039428711,,26.809999465942383,12.768750190734863,11.612500190734863
2004-12-01 00:00:00+00:00,1.210536003112793,4.4822001457214355,,91.66348266601562,,27.25,13.149999618530273,11.962499618530273
2004-12-02 00:00:00+00:00,1.164463996887207,4.468252182006836,,91.54875946044922,,27.09000015258789,12.824999809265137,11.737500190734863
2004-12-03 00:00:00+00:00,1.1192859411239624,4.49315881729126,,92.81070709228516,,27.229999542236328,12.786250114440918,11.663749694824219
2004-12-04 00:00:00+00:00,1.1192859411239624,4.49315881729126,,92.81070709228516,,27.229999542236328,12.786250114440918,11.663749694824219
2004-12-05 00:00:00+00:00,1.1192859411239624,4.49315881729126,,92.81070709228516,,27.229999542236328,12.786250114440918,11.663749694824219
2004-12-06 00:00:00+00:00,1.1746430397033691,4.390791893005371,,93.37476348876953,,27.329999923706055,12.962499618530273,11.768750190734863
2004-12-07 00:00:00+00:00,1.1230360269546509,4.269745826721191,,91.8738021850586,,27.06999969482422,12.6875,11.612500190734863
2004-12-08 00:00:00+00:00,1.1299999952316284,4.233631134033203,,92.39962005615234,,27.360000610351562,12.626250267028809,11.617500305175781
2004-12-09 00:00:00+00:00,1.14267897605896,4.319559097290039,,93.22179412841797,,27.229999542236328,12.375,11.301250457763672
2004-12-10 00:00:00+00:00,1.1633930206298828,4.2752251625061035,,92.41873931884766,,27.079999923706055,12.526249885559082,11.487500190734863
2004-12-11 00:00:00+00:00,1.1633930206298828,4.2752251625061035,,92.41873931884766,,27.079999923706055,12.526249885559082,11.487500190734863
2004-12-12 00:00:00+00:00,1.1633930206298828,4.2752251625061035,,92.41873931884766,,27.079999923706055,12.526249885559082,11.487500190734863
2004-12-13 00:00:00+00:00,1.159106969833374,4.245337009429932,,92.20841217041016,,27.25,12.556249618530273,11.5625
2004-12-14 00:00:00+00:00,1.1658929586410522,4.450568199157715,,93.03059387207031,,27.229999542236328,12.6875,11.661250114440918
2004-12-15 00:00:00+00:00,1.165356993675232,4.477715969085693,,93.04971313476562,,27.110000610351562,12.800000190734863,11.725000381469727
2004-12-16 00:00:00+00:00,1.1892859935760498,4.395275115966797,,93.16443634033203,,27.15999984741211,13.0,11.949999809265137
2004-12-17 00:00:00+00:00,1.1605360507965088,4.485188007354736,,91.96940612792969,,26.959999084472656,12.802499771118164,11.84000015258789
2004-12-18 00:00:00+00:00,1.1605360507965088,4.485188007354736,,91.96940612792969,,26.959999084472656,12.802499771118164,11.84000015258789
2004-12-19 00:00:00+00:00,1.1605360507965088,4.485188007354736,,91.96940612792969,,26.959999084472656,12.802499771118164,11.84000015258789
2004-12-20 00:00:00+00:00,1.1200000047683716,4.608226776123047,,92.30401611328125,,26.950000762939453,12.912500381469727,11.824999809265137
2004-12-21 00:00:00+00:00,1.1373209953308105,4.576595783233643,,92.75334930419922,,27.06999969482422,13.25,12.076250076293945
2004-12-22 00:00:00+00:00,1.1383930444717407,4.640108108520508,,93.31739807128906,,26.969999313354492,13.112500190734863,11.912500381469727
2004-12-23 00:00:00+00:00,1.1430360078811646,4.679957866668701,,93.42256164550781,,27.010000228881836,13.287500381469727,12.081250190734863
2004-12-24 00:00:00+00:00,1.1430360078811646,4.679957866668701,,93.42256164550781,,27.010000228881836,13.287500381469727,12.081250190734863
2004-12-25 00:00:00+00:00,1.1430360078811646,4.679957866668701,,93.42256164550781,,27.010000228881836,13.287500381469727,12.081250190734863
2004-12-26 00:00:00+00:00,1.1430360078811646,4.679957866668701,,93.42256164550781,,27.010000228881836,13.287500381469727,12.081250190734863
